question|answer0|answer1|answer2|answer3|correct_answer|chapter
"""Caixa A tem três bolinhas dentro"". Com isso fica em Python?"|CAIXA A IGUAL A 3|caixa_a = 3|caixa é 3|caix_a = 3|1|5
"""Caixa Z tem treze bolinhas dentro"". Com isso fica em Python?"|CAIXA Z IGUAL A 13|caixa_z = 13|caixa z é 13|caixa_z = 1.3|1|5
"Como ficaria ""Bola"" no padrão Snake Case?"|Bola|bola_|bola|BOLa|2|5
"Como ficaria ""Sapato Velho"" no padrão Snake Case?"|Sapato Velho|sapato velho|sapato_velho|sapaTo Velho|2|5
"Como ficaria ""Nuvem Azul"" no padrão Snake Case?"|Nuvem Azul|nuvem azul|nuvem_azul|NuVeM AzUl|2|5
"Como ficaria ""Caixa A"" no padrão Snake Case?"|Caixa A|caixa a|caixa_a|CAIXA A|2|5
Para colocar um valor dentro de uma variável usamos o símbolo ?|Erro:520|=|igual|equal|1|5
A = 5 e B = 7; C = A + B; Qual o valor de C?|57|1.2|12|120|2|5
A = -5 e B = 7; C = A + B; Qual o valor de C?|-57|20|2|0.2|2|5
A = -5 e B = -7; C = A + B; Qual o valor de C?|2|-1.2|-12|-120|2|5
A = 2 e B = 2; C = A + B; Qual o valor de B?|4|0.4|40|2|3|5
A = 7.5 - 1.89; Uma string é o equivalente a: |um número|uma condição|um texto|uma linha|2|5
"Qual é o tipo de varíavel que recebe um ""texto""?"|String|Numérico|Laço de Repetição|Nenhuma das opções|0|5
Em Python, um valor numérico ? ser quebrado (ter vírgula).|não pode|às vezes pode|pode|só pode|2|5
Variáveis Booleanas só possuem dois valores: ? ou ?.|True/False|true/False|Sim/Não|Yes/No|0|5
A função print serve para ? na tela|escrever|ler|somar|colorir|0|6
"A linha ""print(""Oi, tudo bom?"") imprime o que na tela?"|"""oi_tudo_bom"""|"""oi tudo bom?"""|"""Oi, tudo bom?"""|"""Oi tudo bom?"""|2|6
"nome = ""João""; print(""Olá, ""+nome); O que é impresso?"|"""Olá, João"""|"""Ola joao"""|"""João"""|Dá um erro|0|6
"nome = ""Lucas""; print(f""Olá, {nome}""); O que é impresso?"|"""Olá, Lucas"""|"""Ola, lucas"""|"""Lucas"""|Dá um erro|0|6
"nome = ""Maria""; print(f""Olá, {nome}""); Qual o valor de nome?"|"""Olá, Maria"""|"""Ola, maria"""|"""Maria"""|Dá um erro|2|6
Qual dos símbolos é o correto para uma string?|Aspas simples|Apóstrofos|Aspas triplas|Asteriscos|3|6
print('Copo D'água'); Esse print funciona?|Sim|Não|Depende|Nenhuma das opções|1|6
"O que significa o ""f"" dentro do print?"|Format|Forma|Funciona|Farelo|0|6
Casting é quando você ? da variável|troca o tipo|apaga o tipo|soma o tipo|escondo o tipo|0|6
A função input serve para ? um valor.|apagar|esconder|receber|somar|2|6
nome = input(); Essa linha está correta?|Sim|Não|Talvez|Nenhuma das opções|0|6
"nome = input(""Digite seu nome aqui: ""); Essa linha está correta?"|Sim|Não|Talvez|Nenhuma das opções|0|6
"nome = input[""Digite seu nome aqui: ""]; Essa linha está correta?"|Sim|Não|Talvez|Nenhuma das opções|1|6
O casting é usado no input para ? o tipo recebido.|garantir|negar|salvar|apagar|0|6
"Para transformar o ""input()"" em um número inteiro você precisa usar ?"|int()|str()|float()|bool()|0|6
"Para transformar o ""input()"" em string você precisa usar ?"|int()|str()|float()|bool()|1|6
"Para transformar o ""input()"" em um número quebrado você precisa usar ?"|int()|str()|float()|bool()|2|6
"Para transformar o ""input()"" em booleano você precisa usar ?"|int()|str()|float()|bool()|3|6
"var=int(""5""); Qual o valor de var?"|5|"""5"""|5.0|True|0|6
var=str(5); Qual o valor de var?|5|"""5"""|5.0|True|1|6
var=float(5); Qual o valor de var?|5|"""5"""|5.0|True|2|6
var_a = 6; var_b = 3; var_a + var_b = ?|9|3|18|2|0|7
var_a = 6; var_b = 3; var_a - var_b = ?|9|3|18|2|1|7
var_a = 6; var_b = 3; var_a * var_b = ?|9|3|18|2|2|7
var_a = 6; var_b = 3; var_a / var_b = ?|9|3|18|2|3|7
Para somar usa-se o sinal de ?|mais |menos|asterisco|barra|0|7
Para subtrair usa-se o sinal de ?|mais |menos|asterisco|barra|1|7
Para multiplicar usa-se o ?|mais |menos|asterisco|barra|2|7
Para dividir usa-se a ?|mais |menos|asterisco|barra|3|7
"Se você ""somar"" duas strings você ? elas"|divide|multiplica|concatena|apaga|2|7
"O ""símbolo"" ""\n"" é usado para ? uma linha"|pular|dividir|somar|apagar|0|7
